| RECEIVER(PID)| SENDER(PID)  | QUANTITA     | TIMESTAMP
| 0000000064540| 0000000064533| 0000000001474| Fri Jan  7 22:00:02 2022
| 0000000064538| 0000000064550| 0000000001396| Fri Jan  7 22:00:02 2022
| 0000000064550| 0000000064540| 0000000001345| Fri Jan  7 22:00:02 2022
| 0000000064544| 0000000064533| 0000000000772| Fri Jan  7 22:00:02 2022
| 0000000064540| 0000000064535| 0000000000777| Fri Jan  7 22:00:02 2022
| 0000000064545| 0000000064548| 0000000000909| Fri Jan  7 22:00:02 2022
| 0000000064533| 0000000064536| 0000000003205| Fri Jan  7 22:00:02 2022
| 0000000064531| 0000000064538| 0000000006608| Fri Jan  7 22:00:02 2022
| 0000000064526| -000000000001| 0000000000219| Fri Jan  7 22:00:02 2022

| RECEIVER(PID)| SENDER(PID)  | QUANTITA     | TIMESTAMP
| 0000000064543| 0000000064548| 0000000000929| Fri Jan  7 22:00:02 2022
| 0000000064534| 0000000064550| 0000000004430| Fri Jan  7 22:00:02 2022
| 0000000064542| 0000000064545| 0000000002401| Fri Jan  7 22:00:02 2022
| 0000000064546| 0000000064534| 0000000004033| Fri Jan  7 22:00:02 2022
| 0000000064541| 0000000064549| 0000000003814| Fri Jan  7 22:00:02 2022
| 0000000064550| 0000000064540| 0000000000544| Fri Jan  7 22:00:02 2022
| 0000000064544| 0000000064537| 0000000000503| Fri Jan  7 22:00:02 2022
| 0000000064541| 0000000064545| 0000000000592| Fri Jan  7 22:00:02 2022
| 0000000064550| 0000000064539| 0000000000024| Fri Jan  7 22:00:02 2022
| 0000000064527| -000000000001| 0000000000171| Fri Jan  7 22:00:02 2022

| RECEIVER(PID)| SENDER(PID)  | QUANTITA     | TIMESTAMP
| 0000000064539| 0000000064532| 0000000000927| Fri Jan  7 22:00:02 2022
| 0000000064549| 0000000064540| 0000000002391| Fri Jan  7 22:00:02 2022
| 0000000064547| 0000000064549| 0000000000251| Fri Jan  7 22:00:02 2022
| 0000000064547| 0000000064542| 0000000002400| Fri Jan  7 22:00:02 2022
| 0000000064546| 0000000064535| 0000000001881| Fri Jan  7 22:00:02 2022
| 0000000064545| 0000000064540| 0000000000223| Fri Jan  7 22:00:02 2022
| 0000000064537| 0000000064549| 0000000001921| Fri Jan  7 22:00:02 2022
| 0000000064531| 0000000064538| 0000000000863| Fri Jan  7 22:00:02 2022
| 0000000064548| 0000000064537| 0000000000791| Fri Jan  7 22:00:02 2022
| 0000000064530| -000000000001| 0000000000113| Fri Jan  7 22:00:02 2022

| RECEIVER(PID)| SENDER(PID)  | QUANTITA     | TIMESTAMP
| 0000000064532| 0000000064537| 0000000003392| Fri Jan  7 22:00:02 2022
| 0000000064543| 0000000064541| 0000000000869| Fri Jan  7 22:00:02 2022
| 0000000064539| 0000000064537| 0000000001164| Fri Jan  7 22:00:02 2022
| 0000000064547| 0000000064539| 0000000000274| Fri Jan  7 22:00:02 2022
| 0000000064546| 0000000064545| 0000000000014| Fri Jan  7 22:00:02 2022
| 0000000064534| 0000000064547| 0000000005148| Fri Jan  7 22:00:02 2022
| 0000000064536| 0000000064550| 0000000001047| Fri Jan  7 22:00:02 2022
| 0000000064547| 0000000064543| 0000000000674| Fri Jan  7 22:00:02 2022
| 0000000064543| 0000000064540| 0000000001225| Fri Jan  7 22:00:02 2022
| 0000000064524| -000000000001| 0000000000136| Fri Jan  7 22:00:02 2022

| RECEIVER(PID)| SENDER(PID)  | QUANTITA     | TIMESTAMP
| 0000000064532| 0000000064550| 0000000003296| Fri Jan  7 22:00:02 2022
| 0000000064541| 0000000064531| 0000000003653| Fri Jan  7 22:00:02 2022
| 0000000064536| 0000000064534| 0000000001888| Fri Jan  7 22:00:02 2022
| 0000000064547| 0000000064536| 0000000000214| Fri Jan  7 22:00:02 2022
| 0000000064533| 0000000064550| 0000000000063| Fri Jan  7 22:00:02 2022
| 0000000064541| 0000000064547| 0000000000348| Fri Jan  7 22:00:02 2022
| 0000000064537| 0000000064540| 0000000001304| Fri Jan  7 22:00:02 2022
| 0000000064548| 0000000064544| 0000000005157| Fri Jan  7 22:00:02 2022
| 0000000064550| 0000000064544| 0000000000433| Fri Jan  7 22:00:02 2022
| 0000000064522| -000000000001| 0000000000163| Fri Jan  7 22:00:02 2022

| RECEIVER(PID)| SENDER(PID)  | QUANTITA     | TIMESTAMP
| 0000000064538| 0000000064543| 0000000000107| Fri Jan  7 22:00:02 2022
| 0000000064542| 0000000064539| 0000000000188| Fri Jan  7 22:00:02 2022
| 0000000064539| 0000000064534| 0000000002466| Fri Jan  7 22:00:02 2022
| 0000000064544| 0000000064548| 0000000001556| Fri Jan  7 22:00:02 2022
| 0000000064538| 0000000064546| 0000000001131| Fri Jan  7 22:00:02 2022
| 0000000064533| 0000000064534| 0000000003306| Fri Jan  7 22:00:02 2022
| 0000000064544| 0000000064549| 0000000001959| Fri Jan  7 22:00:02 2022
| 0000000064549| 0000000064550| 0000000001323| Fri Jan  7 22:00:02 2022
| 0000000064550| 0000000064546| 0000000001620| Fri Jan  7 22:00:02 2022
| 0000000064528| -000000000001| 0000000000133| Fri Jan  7 22:00:02 2022

| RECEIVER(PID)| SENDER(PID)  | QUANTITA     | TIMESTAMP
| 0000000064539| 0000000064532| 0000000001667| Fri Jan  7 22:00:02 2022
| 0000000064536| 0000000064548| 0000000000654| Fri Jan  7 22:00:02 2022
| 0000000064537| 0000000064544| 0000000001196| Fri Jan  7 22:00:02 2022
| 0000000064548| 0000000064542| 0000000002036| Fri Jan  7 22:00:02 2022
| 0000000064550| 0000000064533| 0000000003806| Fri Jan  7 22:00:02 2022
| 0000000064539| 0000000064541| 0000000001496| Fri Jan  7 22:00:02 2022
| 0000000064543| 0000000064544| 0000000002973| Fri Jan  7 22:00:02 2022
| 0000000064548| 0000000064534| 0000000002436| Fri Jan  7 22:00:02 2022
| 0000000064547| 0000000064540| 0000000001002| Fri Jan  7 22:00:02 2022
| 0000000064523| -000000000001| 0000000000171| Fri Jan  7 22:00:02 2022

| RECEIVER(PID)| SENDER(PID)  | QUANTITA     | TIMESTAMP
| 0000000064531| 0000000064539| 0000000000089| Fri Jan  7 22:00:02 2022
| 0000000064543| 0000000064547| 0000000006317| Fri Jan  7 22:00:02 2022
| 0000000064548| 0000000064542| 0000000004304| Fri Jan  7 22:00:02 2022
| 0000000064532| 0000000064548| 0000000001971| Fri Jan  7 22:00:02 2022
| 0000000064535| 0000000064539| 0000000000087| Fri Jan  7 22:00:02 2022
| 0000000064534| 0000000064545| 0000000002126| Fri Jan  7 22:00:02 2022
| 0000000064549| 0000000064533| 0000000002707| Fri Jan  7 22:00:02 2022
| 0000000064539| 0000000064542| 0000000003751| Fri Jan  7 22:00:02 2022
| 0000000064532| 0000000064535| 0000000000399| Fri Jan  7 22:00:02 2022
| 0000000064521| -000000000001| 0000000000216| Fri Jan  7 22:00:02 2022

| RECEIVER(PID)| SENDER(PID)  | QUANTITA     | TIMESTAMP
| 0000000064534| 0000000064540| 0000000000334| Fri Jan  7 22:00:02 2022
| 0000000064535| 0000000064532| 0000000000132| Fri Jan  7 22:00:02 2022
| 0000000064532| 0000000064537| 0000000000467| Fri Jan  7 22:00:02 2022
| 0000000064542| 0000000064545| 0000000000409| Fri Jan  7 22:00:02 2022
| 0000000064533| 0000000064538| 0000000002503| Fri Jan  7 22:00:02 2022
| 0000000064549| 0000000064548| 0000000004830| Fri Jan  7 22:00:02 2022
| 0000000064533| 0000000064540| 0000000000945| Fri Jan  7 22:00:02 2022
| 0000000064532| 0000000064542| 0000000001849| Fri Jan  7 22:00:02 2022
| 0000000064537| 0000000064546| 0000000000232| Fri Jan  7 22:00:02 2022
| 0000000064526| -000000000001| 0000000000114| Fri Jan  7 22:00:02 2022

| RECEIVER(PID)| SENDER(PID)  | QUANTITA     | TIMESTAMP
| 0000000064550| 0000000064537| 0000000001128| Fri Jan  7 22:00:02 2022
| 0000000064548| 0000000064547| 0000000001243| Fri Jan  7 22:00:02 2022
