| RECEIVER(PID)| SENDER(PID)  | QUANTITA     | TIMESTAMP
| 0000000005465| 0000000005442| 0000000000415| Sun Jan  9 11:04:11 2022
| 0000000005450| 0000000005458| 0000000000232| Sun Jan  9 11:04:11 2022
| 0000000005440| 0000000005474| 0000000000296| Sun Jan  9 11:04:11 2022
| 0000000005411| 0000000005479| 0000000000495| Sun Jan  9 11:04:11 2022
| 0000000005441| 0000000005450| 0000000000324| Sun Jan  9 11:04:11 2022
| 0000000005454| 0000000005500| 0000000000422| Sun Jan  9 11:04:11 2022
| 0000000005401| -000000000001| 0000000000029| Sun Jan  9 11:04:11 2022

| RECEIVER(PID)| SENDER(PID)  | QUANTITA     | TIMESTAMP
| 0000000005463| 0000000005407| 0000000000367| Sun Jan  9 11:04:11 2022
| 0000000005434| 0000000005440| 0000000000347| Sun Jan  9 11:04:11 2022
| 0000000005412| 0000000005435| 0000000000189| Sun Jan  9 11:04:11 2022
| 0000000005478| 0000000005458| 0000000000156| Sun Jan  9 11:04:11 2022
| 0000000005429| 0000000005428| 0000000000289| Sun Jan  9 11:04:11 2022
| 0000000005433| 0000000005454| 0000000000293| Sun Jan  9 11:04:11 2022
| 0000000005479| 0000000005481| 0000000000098| Sun Jan  9 11:04:11 2022
| 0000000005441| 0000000005474| 0000000000309| Sun Jan  9 11:04:11 2022
| 0000000005491| 0000000005469| 0000000000280| Sun Jan  9 11:04:11 2022
| 0000000005393| -000000000001| 0000000000018| Sun Jan  9 11:04:11 2022

| RECEIVER(PID)| SENDER(PID)  | QUANTITA     | TIMESTAMP
| 0000000005407| 0000000005472| 0000000000170| Sun Jan  9 11:04:11 2022
| 0000000005474| 0000000005468| 0000000000188| Sun Jan  9 11:04:11 2022
| 0000000005407| 0000000005460| 0000000000487| Sun Jan  9 11:04:11 2022
| 0000000005470| 0000000005443| 0000000000166| Sun Jan  9 11:04:11 2022
| 0000000005437| 0000000005491| 0000000000122| Sun Jan  9 11:04:11 2022
| 0000000005425| 0000000005424| 0000000000683| Sun Jan  9 11:04:11 2022
| 0000000005432| 0000000005451| 0000000000220| Sun Jan  9 11:04:11 2022
| 0000000005406| 0000000005448| 0000000000281| Sun Jan  9 11:04:11 2022
| 0000000005472| 0000000005495| 0000000000380| Sun Jan  9 11:04:11 2022
| 0000000005399| -000000000001| 0000000000021| Sun Jan  9 11:04:11 2022

| RECEIVER(PID)| SENDER(PID)  | QUANTITA     | TIMESTAMP
| 0000000005405| 0000000005465| 0000000000163| Sun Jan  9 11:04:11 2022
| 0000000005413| 0000000005416| 0000000000188| Sun Jan  9 11:04:11 2022
| 0000000005472| 0000000005406| 0000000000221| Sun Jan  9 11:04:11 2022
| 0000000005468| 0000000005441| 0000000000166| Sun Jan  9 11:04:11 2022
| 0000000005412| 0000000005466| 0000000000344| Sun Jan  9 11:04:11 2022
| 0000000005460| 0000000005404| 0000000000254| Sun Jan  9 11:04:11 2022
| 0000000005450| 0000000005455| 0000000000439| Sun Jan  9 11:04:11 2022
| 0000000005499| 0000000005453| 0000000000096| Sun Jan  9 11:04:11 2022
| 0000000005438| 0000000005493| 0000000000216| Sun Jan  9 11:04:11 2022
| 0000000005394| -000000000001| 0000000000017| Sun Jan  9 11:04:11 2022

| RECEIVER(PID)| SENDER(PID)  | QUANTITA     | TIMESTAMP
| 0000000005476| 0000000005455| 0000000000372| Sun Jan  9 11:04:11 2022
| 0000000005437| 0000000005433| 0000000000437| Sun Jan  9 11:04:11 2022
| 0000000005461| 0000000005440| 0000000000026| Sun Jan  9 11:04:11 2022
| 0000000005429| 0000000005483| 0000000000624| Sun Jan  9 11:04:11 2022
| 0000000005431| 0000000005482| 0000000000287| Sun Jan  9 11:04:11 2022
| 0000000005412| 0000000005403| 0000000000550| Sun Jan  9 11:04:11 2022
| 0000000005466| 0000000005433| 0000000000285| Sun Jan  9 11:04:11 2022
| 0000000005450| 0000000005431| 0000000000478| Sun Jan  9 11:04:11 2022
| 0000000005462| 0000000005414| 0000000000086| Sun Jan  9 11:04:11 2022
| 0000000005396| -000000000001| 0000000000028| Sun Jan  9 11:04:11 2022

| RECEIVER(PID)| SENDER(PID)  | QUANTITA     | TIMESTAMP
| 0000000005481| 0000000005419| 0000000000069| Sun Jan  9 11:04:11 2022
| 0000000005445| 0000000005498| 0000000000297| Sun Jan  9 11:04:11 2022
| 0000000005411| 0000000005472| 0000000000497| Sun Jan  9 11:04:11 2022
| 0000000005436| 0000000005463| 0000000000102| Sun Jan  9 11:04:11 2022
| 0000000005494| 0000000005409| 0000000000185| Sun Jan  9 11:04:11 2022
| 0000000005404| 0000000005436| 0000000000493| Sun Jan  9 11:04:11 2022
| 0000000005471| 0000000005412| 0000000000712| Sun Jan  9 11:04:11 2022
| 0000000005441| 0000000005485| 0000000000594| Sun Jan  9 11:04:11 2022
| 0000000005492| 0000000005421| 0000000000514| Sun Jan  9 11:04:11 2022
| 0000000005395| -000000000001| 0000000000031| Sun Jan  9 11:04:11 2022

| RECEIVER(PID)| SENDER(PID)  | QUANTITA     | TIMESTAMP
| 0000000005404| 0000000005490| 0000000000107| Sun Jan  9 11:04:11 2022
| 0000000005451| 0000000005496| 0000000000158| Sun Jan  9 11:04:11 2022
