| RECEIVER(PID)| SENDER(PID)  | QUANTITA     | TIMESTAMP
| 0000000023178| 0000000023182| 0000000000211| Mon Jan 24 19:04:56 2022
| 0000000023192| 0000000023185| 0000000000395| Mon Jan 24 19:04:56 2022
| 0000000023157| -000000000001| 0000000000014| Mon Jan 24 19:04:56 2022

| RECEIVER(PID)| SENDER(PID)  | QUANTITA     | TIMESTAMP
| 0000000023172| 0000000023237| 0000000000256| Mon Jan 24 19:04:56 2022
| 0000000023251| 0000000023222| 0000000000288| Mon Jan 24 19:04:56 2022
| 0000000023190| 0000000023191| 0000000000033| Mon Jan 24 19:04:56 2022
| 0000000023251| 0000000023259| 0000000000368| Mon Jan 24 19:04:56 2022
| 0000000023153| -000000000001| 0000000000008| Mon Jan 24 19:04:56 2022

| RECEIVER(PID)| SENDER(PID)  | QUANTITA     | TIMESTAMP
| 0000000023242| 0000000023229| 0000000000381| Mon Jan 24 19:04:56 2022
| 0000000023170| 0000000023250| 0000000000231| Mon Jan 24 19:04:56 2022
| 0000000023181| 0000000023196| 0000000000305| Mon Jan 24 19:04:56 2022
| 0000000023242| 0000000023231| 0000000000169| Mon Jan 24 19:04:56 2022
| 0000000023159| -000000000001| 0000000000009| Mon Jan 24 19:04:56 2022

| RECEIVER(PID)| SENDER(PID)  | QUANTITA     | TIMESTAMP
| 0000000023240| 0000000023252| 0000000000251| Mon Jan 24 19:04:56 2022
| 0000000023179| 0000000023171| 0000000000261| Mon Jan 24 19:04:56 2022
| 0000000023257| 0000000023215| 0000000000168| Mon Jan 24 19:04:56 2022
| 0000000023184| 0000000023212| 0000000000203| Mon Jan 24 19:04:56 2022
| 0000000023154| -000000000001| 0000000000007| Mon Jan 24 19:04:56 2022

| RECEIVER(PID)| SENDER(PID)  | QUANTITA     | TIMESTAMP
| 0000000023180| 0000000023183| 0000000000215| Mon Jan 24 19:04:56 2022
| 0000000023229| 0000000023214| 0000000000552| Mon Jan 24 19:04:56 2022
| 0000000023202| 0000000023171| 0000000000261| Mon Jan 24 19:04:56 2022
| 0000000023194| 0000000023239| 0000000000010| Mon Jan 24 19:04:56 2022
| 0000000023155| -000000000001| 0000000000010| Mon Jan 24 19:04:56 2022

| RECEIVER(PID)| SENDER(PID)  | QUANTITA     | TIMESTAMP
| 0000000023217| 0000000023167| 0000000000086| Mon Jan 24 19:04:56 2022
| 0000000023254| 0000000023192| 0000000000001| Mon Jan 24 19:04:56 2022
| 0000000023176| 0000000023199| 0000000000327| Mon Jan 24 19:04:56 2022
| 0000000023217| 0000000023247| 0000000000267| Mon Jan 24 19:04:56 2022
| 0000000023158| -000000000001| 0000000000007| Mon Jan 24 19:04:56 2022

| RECEIVER(PID)| SENDER(PID)  | QUANTITA     | TIMESTAMP
| 0000000023202| 0000000023230| 0000000000232| Mon Jan 24 19:04:56 2022
| 0000000023262| 0000000023261| 0000000000089| Mon Jan 24 19:04:56 2022
| 0000000023204| 0000000023190| 0000000000141| Mon Jan 24 19:04:56 2022
| 0000000023180| 0000000023246| 0000000000340| Mon Jan 24 19:04:56 2022
| 0000000023157| -000000000001| 0000000000007| Mon Jan 24 19:04:56 2022

| RECEIVER(PID)| SENDER(PID)  | QUANTITA     | TIMESTAMP
| 0000000023245| 0000000023207| 0000000000140| Mon Jan 24 19:04:56 2022
| 0000000023216| 0000000023172| 0000000000514| Mon Jan 24 19:04:56 2022
| 0000000023179| 0000000023180| 0000000000158| Mon Jan 24 19:04:56 2022
| 0000000023191| 0000000023249| 0000000000288| Mon Jan 24 19:04:56 2022
| 0000000023156| -000000000001| 0000000000009| Mon Jan 24 19:04:56 2022

| RECEIVER(PID)| SENDER(PID)  | QUANTITA     | TIMESTAMP
